,ID,Title,Source Title,Source Link,Final Registration,Modification Reason,Domain,Date,Head,Body,Useful,Fact
13,A24,이한열·박종철 열사는 현행법상 국가유공자가 아니다,MBC 라디오 신장식의 뉴스하이킥,https://www.imbc.com/broad/radio/fm/newshigh/interview/index.html?list_id=7201763,2023.04.20 08:01,본문수정,www_imbc_com,2023.04.11 20:18,4/11 (화) [인권 새로고침] 4.16 세월호 참사 9주기.. 유가족들의 이야기를 전하다 - 박래군 4.16재단 상임이사,"■프로그램:신장식의 뉴스하이킥(MBC라디오 표준FM 95.9Mhz /평일저녁6시5분~8시) ■출연자:박래군4.16재단 상임이사  ◎진행자>사회 구석구석까지 꼼꼼히 들여다보고 인권을 바로 세우는[인권새로고침]코너입니다.
*아래 텍스트는 실제 방송 내용과 차이가 있을 수 있으니 보다 정확한 내용은 방송으로 확인하시기 바랍니다.
안녕하세요.",1,1
14,A25,정상 외교에 대해 국정조사 한 전례가 없다,3월 30일 국민의힘 최고위원회의,https://www.peoplepowerparty.kr/news/comment_view/BBSDD0001/95192,2023.04.17 08:47,링크 수정,www_peoplepowerparty_kr,작성일2023-03-30,최고위원회의 주요내용 [보도자료],"정부가 지난28일670조원 규모인 내년도 예산안 편성지침을 확정했다.
지속가능한 재정 기조를 이어가면서,경제체제를 개선하고 사회적 약자의 보호와 사회구조 혁신에 과감한 투자를 하겠다는 것이 주요내용이다.
빠듯한 예산 상황임에도 해야 할 일은 너무 많다.",1,1
15,A26,봄철 동해안의 산불 피해가 유독 크다,"아시아경제, 봄의 불청객 ‘양간지풍’, 올해도 산불 비상(3월 9일자.)",https://www.asiae.co.kr/article/2023030816081910291,2023.04.14 13:28,근거 자료 수정,www_asiae_co_kr,입력2023.03.09 06:00,"봄의 불청객 ‘양간지풍’, 올해도 산불 비상","         건조한 날씨가 이어지면서 봄철 대형 산불에 대한 우려가 나오고 있다.
8일 행정안전부는 농림축산식품부·산림청·경찰청·소방청과 함께 '산불방지 대국민 담화문'을 내고 지난 1월 1일부터 지난 5일까지 이미 평년(127건)보다 1.5배나 많은 194건의 산불이 발생했다고 밝혔다.
강원 동해안 일대를 잿더미로 만들었던 동해안 산불이 발생한 지 1년 만이다.",1,1
16,A29,정신과 질환 중 사망률 1위는 거식증이다,3월 22일 CBS '김현정의 뉴스쇼',https://n.news.naver.com/mnews/article/079/0003750057?sid=102,2023.03.30 13:19,근거자료 추가,n_news_naver_com,2023-03-22 09:55:03 2023-03-22 11:12:01,"""기침 한번에 갈비뼈 뚝… 뼈말라 가수는 허상이었다""","내 20대 삶은 다이어트…기획사 압박 심해 하루 단호박 2개, 170cm 52kg까지 감량 폭식, 폭음…먹토 반복에 손가락 굳은살도 셀럽 꿈꾸는 10대들…뼈말라 유행 위험해 섭식장애도 정신질환…사망률 1위 달한다 ■ 방송 : 라디오 <김현정의 뉴스쇼> 98.1 (07:20~09:00) ■ 진행 : 김현정 앵커 ■ 대담 : 바바라 (가수) 여러분 섭식장애라는 질환을 들어보셨나요.
요즘 10대들 사이에서는 뼈말라라고 불리면서 뼈만 남았다 싶을 정도로 깡마른 몸매 만들기가 유행이랍니다.
그것도 사망률이 높은 질환이라고 해요.",1,1
17,A30,초등학생이 공유킥보드를 타면 처벌받을까?,타사 언론보도,http://news.heraldcorp.com/view.php?ud=20220808000083,2023.03.27 16:41,수정요청 중 [이미지 위치 수정],news_heraldcorp_com,2022.08.08 09:06,스쿨존 달리던 차에 킥보드 내던진 아이…“제 과실 있나요” 운전자는 ‘아찔’,"7일 교통사고 전문 한문철 변호사가 운영하는 유튜브 채널 한문철TV에는 '어린이보호구역에서 와이프에게 킥보드를 던진 어린이'라는 제목의 영상이 게재됐다.
 [헤럴드경제=김유진 기자] 전남 목포시의 한 스쿨존(어린이보호구역)에서 전동킥보드를 타고 도로를 역주행하던 아이가 정상 주행 중인 차량에 돌연 킥보드를 던지는 듯한 영상이 공개됐다.
차량 운전자의 남편이라고 밝힌 제보자 A 씨가 공개한 블랙박스 영상에는 A 씨의 아내가 전남 목포의 스쿨존 한 곳을 주행하던 중 역주행하던 아이가 놓친 킥보드와 부딪히는 모습이 찍혔다.",1,1
18,A33,한동훈 법무부 장관의 체포동의 설명은 역대 최장이다,"[세계일보] 또 주목받은 '한동훈의 입'… ""단군 이래 최대 손해""",https://n.news.naver.com/mnews/article/022/0003787540?sid=100,2023.03.05 20:50,피드백 반영 후 수정,n_news_naver_com,2023-02-27 18:16:02 2023-02-27 19:15:05,"또 주목받은 '한동훈의 입'… ""단군 이래 최대 손해""","지난해 12월 민주당 노웅래 의원의 체포동의요청 이유(약 5분30초, 2000여자)보다 3∼4배 늘어난 것으로, 법무부 장관이 국회 본회의에서 체포동의요청 이유를 설명한 사례 중 역대 최장 수준이다.
체포동의요청 이유 설명… 역대 최장 수준 영업사원·수험생 등 각종 비유 통과 강조 한동훈 법무부 장관은 27일 국회 본회의에서 “대장동·위례·성남 사건은 죄질과 범행의 규모 면에서 단 한 건만으로도 구속이 될만한 중대 범죄들”이라며 더불어민주당 이재명 대표의 체포동의요청 이유를 설명했다.
   뉴스1 한 장관은 이날 8000여자 분량의 이 대표에 대한 체포동의요청 이유를 15분 이상 역설했다.",1,1
19,A34,목욕탕 수 과거에 비해 줄었다,YTN 라디오 <뉴스킹 박지훈입니다>,https://radio.ytn.co.kr/program/index.php?f=2&id=87806&page=1&s_mcd=0214&s_hcd=01,2023.02.24 14:24,,radio_ytn_co_kr,"날짜 : 2023-02-17 08:36 
			   				   | 조회 : 915","""200만원 더 낸다, 코로나 때보다 심각""…'40년 운영' 목욕탕 업주의 한숨","◇ 박지훈 변호사(이하 박지훈): 지난해 12월에 이어, 1월 난방비 폭탄 고지서가 속속 도착하면서 ‘살기 힘들다’는 원성이 빗발치고 있습니다.
YTN라디오(FM 94.5) [뉴스킹 박지훈입니다]  □ 방송일시 : 2023년 2월 17일 (금요일) □ 진행 : 박지훈 변호사 □ 출연자 : 정성태 한국목욕업중앙회 회장  * 아래 텍스트는 실제 방송 내용과 차이가 있을 수 있으니 보다 정확한 내용은 방송으로 확인하시기 바랍니다.
가정도 문제지만 자영업자들, 특히 가스와 수도 사용량이 많은 대중목욕탕 업주들은 그야말로 직격탄을 맞은 상황인데요.",1,1
20,A35,우리나라 육아휴직자  10명 중 3명은 남성이다,"매일경제 “육아휴직 쓸게요-10명중 3명은 남성, 해마다 빠르게 증가"" 보도",https://www.mk.co.kr/news/society/10617594,2023.02.10 19:39,,www_mk_co_kr,입력 :2023-01-25 14:39:09,"“육아휴직 쓸게요” 10명중 3명은 남성, 해마다 빠르게 증가","25일 고용노동부에 따르면 지난해 육아휴직자 수는 13만1087명으로 전년보다 18.6%(2만532명) 늘어난 것으로 집계됐다.
 지난해 남성 육아휴직자 비율이 30%에 육박하는 것으로 나타났다.
육아휴직을 사용한 근로자도 총 13만여 명을 훌쩍 넘어섰다.",1,1
21,A41,"소선거구제로 양극화의 골이 깊어졌다
",조선일보 보도,https://www.chosun.com/politics/politics_general/2023/01/02/2KVI6B7XWZA5BDUPAJXHVPCOB4/,2023.01.13 16:10,근거 자료 추가 및 내용 보강,www_chosun_com,입력 2023.01.02. 03:00업데이트 2024.01.02. 17:20,尹 “지역 따라 중대선거구제 검토… 편중인사? 지역·학교 안따져”,"윤석열 대통령은 정치 경험이 1년도 안 됐는데도 대선에서 극적으로 승리했다.
그는 “검사로서의 윤석열다움과 대통령으로서의 윤석열다움은 다른 것 같다”고 했다.
대선 기간에도, 취임 후 7개월 동안에도 지지율은 요동쳤고, 캠프와 진영 내부도 엎치락뒤치락했다.",1,1
22,A43,이준석 전 국민의힘 당대표 시절 국민의힘 지지율이 민주당에 뒤처진 적 없었다,언론 보도,https://n.news.naver.com/mnews/article/001/0013658358?sid=100,2023.01.02 16:07,조사방법 등 중복 언급 조정,n_news_naver_com,2022-12-22 21:12:12 Date not found,"이준석, '김장연대'에 ""새우 두 마리 모여도 새우…고래 아니다""","내년 3월 초 전당대회를 앞두고 '친윤(친윤석열) 주자'를 자임하며 도전장을 내민 김기현 의원은 친윤계 핵심으로 꼽히는 장제원 의원과 연대를 모색한다는 평가가 나온다.
'전대룰' 변경에 ""입시 바꿔도 들어갈 학생 들어가…유승민 지원 계획없다"" 尹대통령 지지율에는 ""내가 당 대표할 땐 민주당에 뒤처진 적 없다"" (서울=연합뉴스) 김철선 기자 = 국민의힘 이준석 전 대표는 22일 국민의힘 차기 당 대표 선거를 앞두고 나오는 '김장(김기현·장제원)연대' 논의에 ""새우 두 마리가 모여도 새우다.
이 전 대표는 이날 고려대 안암캠퍼스 정경관에서 열린 정치외교학과 '현대한국정치사상' 수업 초청 강연 뒤 기자들을 만나 '김장연대 논의에 대해 어떻게 평가하냐'는 질문에 이처럼 답했다.",1,1
23,A48,대통령 취임 후 6개월 동안 야당 회동이 없었던 것이 처음이다,정의당 제7차 상무집행위원회 모두발언,https://www.justice21.org/newhome/board/board_view.html?num=154067&page=2,2022.12.09 11:49,,www_justice21_org,대변인실| 2022-11-28 10:10:32,"[보도자료]
																이정미 대표·이은주 원내대표 외, 제7차 상무집행위원회 모두발언","민생 대책 논의 테이블을 즉각 구성해 이 제안에 응답해주십시오.
그런데 정작 윤 대통령은 친윤계 핵심들과 부부 동반 만찬에다, 다음 날은 여당 지도부만 따로 불러 한남동 관저에서 만찬을 즐겼습니다.
경제위기, 한반도 평화위기, 거기다 10.29 이태원 참사까지 진상규명과 책임자 처벌에 대한 국민들의 목소리는 외면한 채 자기 집 잔치만 벌인 꼴입니다.",1,1
24,A50,"출근시간보다 일찍 회사에 나오라는 지시, 근로기준법 위반이다","""10분 전 미출근자 순위 매겨""…오뚜기 '근태 관리 메일' 논란 (MBN, 2022.10.18)",https://www.mbn.co.kr/news/society/4864512?uagent=m,2022.11.18 12:43,,www_mbn_co_kr,기사입력  2022-10-18 11:02l최종수정  2022-10-18 11:10,"""10분 전 미출근자 순위 매겨""…오뚜기 '근태 관리 메일' 논란","16일 업계에 따르면 오뚜기는 최근 지각 등 근태에 문제가 있다고 여겨지는 일부 직원들에게 이메일을 보냈습니다.
그러면서 ""취업규칙에 준하여 업무 시작 10분 전까지 업무 준비를 하여 주시길 바란다""며 ""11월부터 지각자에게 교육 또는 면담을 진행할 예정""이라고 적었습니다.
문제가 된 건 메일과 함께 첨부된 '10분 전 미출근자 가운데 상위 10명의 명단'입니다.",1,1
25,A51,출소한 성범죄자가 피해자와 같은 동네에 사는 것을 제한할 수 없다,"중부일보 ""'여대생 많은 원룸촌에 연쇄 성폭행범이라니…' 수원발발이 거주지 인근 학생들 불안감 호소"" 기사(2022년 10월 31일자 보도)",http://www.joongboo.com/news/articleView.html?idxno=363564312,2022.11.10 14:26,,www_joongboo_com,"기자명양효원입력 2022.10.31 18:28수정 2022.11.01 19:27댓글 
				
				0","""여대생 많은 원룸촌에 연쇄 성폭행범이라니…"" 수원발발이 거주지 인근 학생들 불안감 호소","이날 ‘수원 발발이’로 불리는 연쇄 성폭행범 박병화(39)가 출소, 화성에 주거지를 정했다는 사실이 확인되면서 인근 주민 불안과 퇴거 목소리가 나온다.
특히 박병화가 살아갈 곳 인근에 수원대학교와 수원과학대학교가 있어 대학가 불안 역시 커지고 있다.
   ""연쇄 성폭행범이 대학가 원룸에 거주한다는 것은 법무부가 범죄자를 방치하는 것이나 다름없습니다.",1,1
26,A58,서해 바닷물이 역류해 한강 둔치가 침수된다,언론 보도,https://n.news.naver.com/mnews/article/052/0001788314?sid=102,2022.09.16 20:14,,n_news_naver_com,2022-09-13 04:11:24 2022-09-13 04:31:01,"갑자기 불어난 한강 물에 시민들 대피...""안내 방송도 없어""","[앵커] 한강 공원에 갑자기 물이 밀려들면서 수변공원 야외무대에 갇힌 시민들이 급히 대피하는 일이 일어났습니다.
만조 때문에 수위가 올라간 건데, 별다른 안내나 경고 방송도 없었습니다.
시민들이 오가던 공간은 몇 분 만에 물에 잠겼고, 아무것도 모르고 시간을 보내던 시민들은 빠져나가지 못하고 야외무대에 그대로 갇혔습니다.",1,1
27,A64,탈원전 탓에 원전 경쟁력 후퇴했다,국민일보에 보도 된 임만성 카이스트 교수 인터뷰,https://news.kmib.co.kr/article/view.asp?arcid=0924257605&code=11151100&cp=nv,2022.08.16 13:54,,news_kmib_co_kr,입력 :2022-08-03 04:07,“탈원전으로 대외 신뢰도 하락… 기업들 경쟁력도 후퇴”,"     임만성( 사진 ) 한국과학기술원(KAIST·카이스트) 원자력 및 양자공학과 교수는 탈원전 정책으로 국내 기업들의 원자력산업 경쟁력이 후퇴했다고 진단했다.
그는 “원전 수출과 국내 원전산업 정책을 일치시키고 산업계 회복을 위한 정부 지원이 필요하다”고 강조했다.
특히 해외에서 한국 원자력에 대한 신뢰가 떨어진 것을 우려했다.",1,1
28,A65,경찰대 출신이 총경급 이상 고위직 60% 차지한다,MBC 라디오 ‘김종배의 시선집중’ 2022년 7월 26일 방송,https://news.v.daum.net/v/20220726103154549?f=o,2022.08.01 17:35,,news_v_daum_net,2022. 7. 26. 10:31,"[시선집중] 이채익 ""경찰대 출신 3%, 14만 경찰들 입장 대변하는 것처럼 보여"""," ■ 방송 : MBC 라디오 표준FM 95.9MHz <김종배의 시선집중>(07:05~08:30)■ 진행 : 김종배 시사평론가■ 대담 : 이채익 국민의힘 의원 (국회 행안위원장)☏ 진행자 > 행정안전부 내 경찰국 설치를 둘러쓴 논란이 지난 주말 전국경찰서장 회의를 계기로 더 증폭되고 있는데요.
☏ 진행자 > 그런데 지금 위원장님께서는 일부라고 말씀하셨는데 전국 경찰서장 회의 열리기 전에 직협에서 먼저 움직였고, 경찰서장 회의 뒤에는 팀장 회의 열린다, 지구대 파출소장 회의도 준비한다, 이런 소식이 계속 들려오는데 일부라고 볼 수 있을까요?
☏ 이채익 > 저는 정말 어려운 여건 하에서 14만 경찰은 국가를 위해서 열심히 일하고 있다고 생각합니다.",1,1
29,A66,종류 상관없이 야생동물 죽이면 범죄다,방학천 오리에 돌 던져 죽인 10대 형제..왜 그랬을까?,https://news.v.daum.net/v/E3qfEEcbfk,2022.08.01 16:05,이미지 추가,news_v_daum_net,"2022. 6. 23. 18:55, 2022. 6. 23. 19:10",방학천 오리에 돌 던져 죽인 10대 형제..왜 그랬을까?,"서울 도봉경찰서는 야생생물 보호 및 관리에 관한 법률 위반 혐의로 10대 청소년 2명을 입건했다고 23일 밝혔다.
경찰에 따르면, 이들 형제는 지난 13일 방학천 산책로를 지나다 청둥오리 암컷 성체 1마리와 새끼 5마리 등 오리 6마리에 여러 차례 돌을 던져 죽인 혐의를 받고 있다.
두 사람은 16일에도 같은 장소에 재차 등장해 오리에게 돌을 던졌으나 인근을 지나던 주민의 신고로 오리를 죽이지 못한 채 달아난 것으로 알려졌다.",1,1
30,A67,정부 직제 개편안 입법예고 기간은 통상 5일이다,"“국민 일상과 무관” 40→4일 경찰국 신설 졸속 예고(2022.07.24, 국민일보)",https://news.kmib.co.kr/article/view.asp?arcid=0017305507&code=61121111&cp=nv,2022.07.27 18:06,,news_kmib_co_kr,입력 :2022-07-24 11:12/수정 :2022-07-24 11:14,[단독] “국민 일상과 무관” 40→4일 경찰국 신설 졸속 예고,"     행정안전부가 경찰국 신설 등 경찰 제도개선과 관련한 입법예고 기간을 당초 40일에서 ‘4일’로 단축을 요청하면서 법제처에 “국민의 권리·의무 또는 일상과 관련이 없다”는 이유을 제시한 것으로 확인됐다.
경찰 업무는 본질적으로 국민 생활과 밀접한 관련이 있을 수밖에 없는 데다, 전국 경찰서장들까지 집단적으로 졸속 추진에 반기를 들고 있어 일방통행식 경찰 통제 강화 추진에 대한 파장은 계속될 것으로 보인다.
국민일보가 24일 이해식 더불어민주당 의원실로부터 입수한 ‘행안부-법제처 간 입법예고 단축 사유서 및 확인서’에 따르면 행안부는 이상민 장관이 경찰제도 개선안을 발표한 지난 15일 법제처에 ‘행안부와 그 소속기관 직제 일부개정령안’(대통령령)에 대한 입법예고 및 관계부처 의견조회 기간을 4일로 줄여달라고 요청했다.",1,1
31,A68,국내 판매되는 승용차의 평균 온실가스 배출량은 배출허용기준을 초과하고 있다,언론사 자체 문제제기,https://www.joongang.co.kr/article/25089678,2022.07.27 15:07,,www_joongang_co_kr,입력2022.07.26 06:00,"허용치 40% 넘겨도, 그냥 놔둔다…車 온실가스 관리 왜 이러나","자동차 배출 온실가스를 줄이기 위해 환경부가 운영하는 '자동차 온실가스 관리제도'가 제 역할을 하지 못하고 있다는 비판이 제기되고 있다.2020년 국내에서 판매된 승용차의 평균 온실가스 배출량이 허용기준을 40% 이상 초과했지만, 환경부가 별다른 조처를 하지 않고 있기 때문이다.
녹색교통운동은 25일 ""환경부는 자동차 온실가스 관리제도에 따른 실적보고서를 최근 1년 이상 공개하지 않고 있다""며 ""자동차 온실가스 배출량을 줄이려는 정부의 의지가 보이지 않고 있다""고 비판했다.
자동차 온실가스 관리제도는 '저탄소 녹색성장 기본법'에 따라 2012년부터 시행 중이며, 환경부는 수입·제작사별로 매년 판매한 승용차의 온실가스 배출량의 평균값을 조사, 배출허용기준을 충족 또는 초과했는지 등을 담은 실적보고서를 작성·공개해야 한다.",1,1
